date,content
2021-10-21 15:41:18+00:00,@ZBCNewsonline @edmnangagwa Thousands of supporters in contravention of covid regulations
2021-10-20 11:34:57+00:00,These niggas like COVID they ain't got no taste
2021-10-20 05:39:55+00:00,Very happy that UK medical teams are in 🇲🇼 to support @health_malawi in the covid response. https://t.co/TDFpBiDVs2
2021-10-19 20:33:49+00:00,"#Love in times of #Covid_19 &amp; #floods! Innovative use of a cooking vessel! May they have a long and happy married life! - #Kerala couple begins their life journey sailing in a cooking vessel
https://t.co/xr7dwNu1ZJ"
2021-10-19 16:52:51+00:00,"We are delighted to be invite MaSP members to the SMP's 15th COVID-19 Coordination meeting and combined Health Forum tomorrow.

 For more info&gt; https://t.co/5EIwOcPWR4 https://t.co/DiXuKk7Cdf"
2021-10-19 08:43:23+00:00,"The need to keep check on HIV/AIDS is one key issue that needs consistence. We reached out to young people at Mtandile on the awareness campaign so that they are always safe from HIV amidst Covid-19. @NycomMalawi , @cisemalawi ,@YouthWaveMalawi https://t.co/Tve9X4MKLA"
2021-10-18 15:30:05+00:00,@Symonchimkango @Times360Malawi @HumanRightsMW Was that statement necessary regardless whoever wrote or said it? He died of COVID related complications period.
2021-10-18 05:01:36+00:00,@Walu_Mwasi Komaso we are excluding all covid years they don't count
2021-10-17 07:06:57+00:00,Damn for real? Just disappeared? I knew Covid wasn't the only strange thing to happen this year. https://t.co/g8fObmTcsf
2021-10-17 06:50:26+00:00,Revised Covid-19 measures https://t.co/JKLhhAr1dj
2021-10-17 03:33:06+00:00,@onjezani Mwinatu tingopanga muja tinapangira covid atavuta.If they cannot manage the k60 billion stadium mwina its high time tokha ma citizens tichitepo kanthu...
2021-10-16 20:14:15+00:00,"@USEmbassyLLW One of the few diplomats who didn't run, when covid struck. All the best!!"
2021-10-15 13:51:14+00:00,"#InternationalDayOfRuralWomen 
Minister of Gender &amp; Community Development, Patricia Kaliat has reminded women to always be climate smart in their various activities. She has also called for coordinated support to assist women recover from the shocks of covid-19 https://t.co/kIOcg6j7q1"
2021-10-15 13:01:32+00:00,It's not like any of the vaccines stop covid-19 infections either 😂🤣. https://t.co/aIdyxu9cdQ
2021-10-15 11:29:45+00:00,"@asumsico What's the point of dikarantina lagi kalo dia udah berkeliaran?

Jadi karantina itu cuma semacam formalitas doang atau emang protokol untuk mencegah penyebaran Covid?"
2021-10-15 04:59:31+00:00,@DailyNewsZim What about these guys on the caption did they not break the Covid laws https://t.co/9SXurCSK3o
2021-10-15 04:53:18+00:00,15th October 2021: lnternational Day for Rural Women under the theme 'Building Rural Women's Resillience in the Wake of COVID-19'. https://t.co/MY2Amqa1W4
2021-10-14 08:01:34+00:00,"In the interest of climate mitigation, Covid-19 was/is a blessing in disguise...

 https://t.co/2piN7Xsgm7"
2021-10-14 07:22:17+00:00,@DeanSwiss COVID-19 chief
2021-10-14 07:16:55+00:00,Any centers that are currently administering the Covid-19 vaccine in Lilongwe??
2021-07-30 18:42:00+00:00,"Rest in peace Mr #ferguson Mwanza added that Shona died from #covid_19 related complications.  Mwanza said he would not be indulging on further details around the death. @ Lilongwe, Malawi https://t.co/QtNylrwjaq"
2021-07-25 14:47:55+00:00,One of my employees been tested covid +. Went to get tested after am negative and am really panicking rn😢😢😢
2021-04-24 08:24:58+00:00,"Season of covid-19. 😷 @ Capital City, Lilongwe https://t.co/PdsQmfPrM2"
2021-03-08 08:37:49+00:00,"Commemorating the International Women's Day. Celebrating women. Women in leadership at all levels: achieving an equal future in a Covid-19 World""
#SheLeadsInCrisis https://t.co/4ol6J55NEG"
2021-02-26 07:33:44+00:00,"Exploits graduation taking place right here at the Lilongwe Auditorium-BICC. 
All Covid measures are being followed ensuring safety for our guests. https://t.co/YdwFvnNK5X"
2021-02-16 22:45:34+00:00,"We have these and more in different designs and colors, at a very affordable prices😊, COVID is real, mask up to stay safe @ Lilongwe, Malawi https://t.co/Nyi6C7XpJ2"
2021-02-12 11:11:38+00:00,"My community my responsibility volunteers &amp; management are busy assessing the effectiveness of the rapid response project which aims at addressing community impacts of COVID-19. 
Targeting street children , the elderly, single mothers and youths feeling isolated.
#Get involved https://t.co/nrglajlSJu"
2021-02-11 07:33:31+00:00,"Thank you Dr. Charles Mwansambo, the principal secretary in the Ministry of Health, for getting a copy of my book. Mental health awareness is essential during the Covid-19 pandemic. @MalawiGovt @health_malawi @HonKandodo https://t.co/tfTwHKeYJN"
2021-02-05 09:33:56+00:00,Keeping our premises safe from Covid-19 https://t.co/b9nhQV0sG5 https://t.co/o5hFOT2akp
2021-02-03 09:22:04+00:00,Good morning! I am currently participating in the 38th Session of the Executive Council of the African Union. The Council is made up of ministers designated by the governments of AU member states. This year’s session is taking place virtually due to the COVID-19 pandemic. https://t.co/VPmq5HpOHu
2021-01-24 09:16:40+00:00,"Running a grand marketer project the other day.
#MarketingTwitter #PhotographyIsArt #Covid_19 https://t.co/KV2w1jAf84"
2021-01-19 09:55:46+00:00,"Fresh Chambo at the 18 Mart Lilongwe Area 18A has just arrived.. Get your fresh Chambo at K5000 per Kg. Hurry now while the stock lasts

PS. Covid-19 is real stay safe and wear a mask at all times😷

#COVID19 #Malawi #StocksToBuy  #vaccination #lilongwe #buynow  #blantyre #fish https://t.co/jPYWmNiDuQ"
